Symbol
AA
AAL
AAON
ACHC
ACI
ACM
ADC
AFG
AGCO
AIT
ALE
ALGM
ALK
ALLY
ALV
AM
AMED
AMG
AMH
AMKR
AN
ANF
APPF
AR
ARMK
ARW
ASB
ASGN
ASH
ATI
ATR
AVNT
AVT
AVTR
AXTA
AYI
BBWI
BC
BCO
BDC
BERY
BHF
BILL
BIO
BJ
BKH
BLD
BLKB
BMRN
BRBR
BRKR
BRX
BURL
BWXT
BYD
CACI
CADE
CAR
CART
CASY
CAVA
CBSH
CBT
CCK
CDP
CELH
CFR
CG
CGNX
CHDN
CHE
CHH
CHRD
CHWY
CHX
CIEN
CIVI
CLF
CLH
CMA
CMC
CNH
CNM
CNO
CNX
CNXC
COHR
COKE
COLB
COLM
COTY
CPRI
CR
CROX
CRS
CRUS
CSL
CUBE
CUZ
CVLT
CW
CXT
CYTK
DAR
DBX
DCI
DINO
DKS
DLB
DOCS
DOCU
DT
DTM
DUOL
EEFT
EGP
EHC
ELF
ELS
EME
ENS
ENSG
ENTG
EPR
EQH
ESAB
ESNT
EVR
EWBC
EXEL
EXLS
EXP
EXPO
FAF
FBIN
FCFS
FCN
FFIN
FHI
FHN
FIVE
FIX
FLEX
FLG
FLO
FLR
FLS
FN
FNB
FND
FNF
FOUR
FR
FYBR
G
GAP
GATX
GBCI
GEF
GGG
GHC
GLPI
GME
GMED
GNTX
GPK
GT
GTLS
GWRE
GXO
H
HAE
HALO
HGV
HIMS
HLI
HLNE
HOG
HOMB
HQY
HR
HRB
HWC
HXL
IBKR
IBOC
IDA
ILMN
INGR
IPGP
IRDM
IRT
ITT
JAZZ
JEF
JHG
JLL
JWN
KBH
KBR
KD
KEX
KMPR
KNF
KNSL
KNX
KRC
KRG
LAD
LAMR
LANC
LEA
LECO
LFUS
LITE
LIVN
LNTH
LNW
LOPE
LPX
LSCC
LSTR
M
MAN
MANH
MASI
MAT
MEDP
MIDD
MKSI
MLI
MMS
MORN
MSA
MSM
MTDR
MTG
MTN
MTSI
MTZ
MUR
MUSA
NBIX
NEU
NFG
NJR
NLY
NNN
NOV
NOVT
NSA
NSP
NVST
NVT
NWE
NXST
NXT
NYT
OC
OGE
OGS
OHI
OLED
OLLI
OLN
ONB
ONTO
OPCH
ORA
ORI
OSK
OVV
OZK
PAG
PB
PBF
PCH
PCTY
PEN
PFGC
PII
PK
PLNT
PNFP
POR
POST
POWI
PPC
PR
PRGO
PRI
PSN
PSTG
PVH
QLYS
R
RBA
RBC
REXR
RGA
RGEN
RGLD
RH
RLI
RMBS
RNR
ROIV
RPM
RRC
RRX
RS
RYAN
RYN
SAIA
SAIC
SAM
SATS
SBRA
SCI
SEIC
SF
SFM
SGI
SHC
SIGI
SKX
SLAB
SLGN
SLM
SMG
SNV
SNX
SON
SR
SRPT
SSB
SSD
ST
STAG
STWD
SWX
SYNA
TCBI
TEX
THC
THG
THO
TKR
TMHC
TNL
TOL
TREX
TTC
TTEK
TXNM
TXRH
UA
UAA
UBSI
UFPI
UGI
UMBF
UNM
USFD
UTHR
VAC
VAL
VC
VFC
VLY
VMI
VNO
VNOM
VNT
VOYA
VVV
WAL
WBS
WCC
WEN
WEX
WFRD
WH
WHR
WING
WLK
WMG
WMS
WPC
WSO
WTFC
WTRG
WTS
WU
WWD
X
XPO
XRAY
YETI
ZI
ZION
