symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
BAB.L,484,0.8037,0.0378,0.8084,4.1698
DLTR,571,0.7723,0.0457,0.8131,4.1693
WTB.L,523,0.7935,0.0336,0.8118,4.1689
TFC,632,0.7753,0.0328,0.8070,4.1687
HSY,661,0.7700,0.0266,0.8118,4.1685
L,547,0.7879,0.0299,0.8144,4.1680
KER.PA,455,0.8088,0.0351,0.8132,4.1680
DRI,582,0.7818,0.0365,0.8076,4.1679
ENTG,545,0.7761,0.0525,0.8094,4.1670
KMPR,605,0.7752,0.0312,0.8135,4.1662
MCG.L,482,0.8008,0.0387,0.8103,4.1653
MS,624,0.7628,0.0445,0.8119,4.1642
FPE3.DE,489,0.7996,0.0336,0.8130,4.1619
VRTX,731,0.7360,0.0579,0.8103,4.1615
EWBC,512,0.7871,0.0418,0.8131,4.1608
STE,619,0.7706,0.0379,0.8090,4.1607
HOT.DE,514,0.7879,0.0416,0.8118,4.1602
EXC,727,0.7593,0.0249,0.8111,4.1600
POOL,568,0.7817,0.0357,0.8099,4.1599
RMBS,546,0.7619,0.0644,0.8136,4.1596
MTD,493,0.8032,0.0335,0.8077,4.1590
MSA,680,0.7603,0.0311,0.8132,4.1588
FNTN.DE,453,0.8013,0.0471,0.8099,4.1577
SAP.DE,446,0.8117,0.0379,0.8085,4.1565
SPG,524,0.7939,0.0324,0.8096,4.1565
PUB.PA,473,0.7970,0.0365,0.8165,4.1559
ETR,779,0.7587,0.0241,0.8028,4.1539
AMG,469,0.7932,0.0444,0.8149,4.1535
CMS,676,0.7648,0.0289,0.8098,4.1534
BRKR,484,0.7810,0.0517,0.8176,4.1529
OHI,584,0.7757,0.0370,0.8103,4.1529
SAN.MC,465,0.8022,0.0384,0.8114,4.1527
AIR.DE,472,0.7966,0.0405,0.8133,4.1521
GPK,595,0.7664,0.0471,0.8097,4.1519
ROR.L,462,0.8160,0.0318,0.8034,4.1517
XPO,415,0.7952,0.0597,0.8169,4.1512
LXS.DE,510,0.7922,0.0410,0.8070,4.1499
NJR,600,0.7900,0.0229,0.8025,4.1493
G1A.DE,488,0.7910,0.0436,0.8117,4.1490
RWE.DE,494,0.7915,0.0362,0.8153,4.1488
MMS,503,0.7913,0.0370,0.8121,4.1465
NTRS,619,0.7771,0.0303,0.8055,4.1465
GAW.L,522,0.7874,0.0357,0.8122,4.1457
WCH.DE,365,0.8164,0.0522,0.8174,4.1448
DBK.DE,543,0.7772,0.0432,0.8116,4.1446
UCG.MI,540,0.7741,0.0458,0.8135,4.1445
K,636,0.7736,0.0239,0.8100,4.1423
POWI,531,0.7702,0.0578,0.8097,4.1408
PCH,722,0.7535,0.0320,0.8089,4.1406
TSCO,572,0.7710,0.0423,0.8112,4.1397
INF.L,455,0.7978,0.0394,0.8154,4.1396
BCO,534,0.7790,0.0384,0.8143,4.1385
FLG,532,0.7820,0.0356,0.8139,4.1381
PHI.L,448,0.8147,0.0303,0.8073,4.1381
USB,787,0.7421,0.0316,0.8105,4.1380
ROG.SW,461,0.8091,0.0264,0.8120,4.1375
CRM,422,0.8057,0.0456,0.8121,4.1370
BEZ.L,396,0.8308,0.0349,0.8040,4.1366
III.L,559,0.7746,0.0382,0.8128,4.1362
RMS.PA,482,0.7946,0.0318,0.8163,4.1361
RIO.L,550,0.7855,0.0401,0.8020,4.1353
ANSS,567,0.7743,0.0419,0.8082,4.1349
VZ,647,0.7697,0.0247,0.8098,4.1348
HAE,642,0.7617,0.0335,0.8122,4.1345
IDA,562,0.7900,0.0237,0.8071,4.1342
FI,656,0.7683,0.0323,0.8034,4.1339
ICG.L,495,0.7859,0.0374,0.8169,4.1332
UTDI.DE,553,0.7758,0.0441,0.8078,4.1331
BR,271,0.8672,0.0365,0.8201,4.1320
TTEK,684,0.7500,0.0427,0.8092,4.1319
TXNM,691,0.7598,0.0281,0.8088,4.1316
WPC,449,0.8129,0.0286,0.8085,4.1300
MCO,518,0.7915,0.0330,0.8078,4.1293
WTRG,574,0.7787,0.0292,0.8105,4.1280
MTN,485,0.7835,0.0425,0.8166,4.1264
MTCH,655,0.7496,0.0458,0.8113,4.1254
ATR,477,0.8008,0.0318,0.8090,4.1244
ALE,755,0.7550,0.0215,0.8068,4.1242
HBAN,667,0.7631,0.0314,0.8055,4.1240
DUK,602,0.7774,0.0227,0.8102,4.1238
EGP,560,0.7857,0.0278,0.8067,4.1237
WYNN,458,0.7773,0.0549,0.8203,4.1224
HALO,457,0.7834,0.0578,0.8118,4.1215
DPZ,375,0.8133,0.0399,0.8217,4.1213
BARC.L,558,0.7706,0.0437,0.8098,4.1203
DKS,429,0.7972,0.0466,0.8143,4.1199
BA.L,537,0.7840,0.0328,0.8090,4.1191
VMI,716,0.7430,0.0392,0.8113,4.1191
ODFL,620,0.7613,0.0415,0.8077,4.1188
ADC,479,0.7954,0.0317,0.8129,4.1185
WEX,361,0.8255,0.0413,0.8132,4.1179
RPM,593,0.7858,0.0283,0.7976,4.1167
EXEL,531,0.7571,0.0595,0.8176,4.1161
HRI.L,490,0.7959,0.0283,0.8115,4.1158
NEM.DE,523,0.7667,0.0495,0.8168,4.1156
CLH,751,0.7257,0.0507,0.8148,4.1144
FCN,522,0.7720,0.0458,0.8141,4.1143
TREX,487,0.7700,0.0535,0.8193,4.1142
KRN.DE,483,0.7950,0.0328,0.8105,4.1140
SDP.L,389,0.8252,0.0300,0.8113,4.1139
TEP.PA,618,0.7638,0.0355,0.8091,4.1132
PUM.DE,526,0.7757,0.0399,0.8136,4.1130
JKHY,693,0.7475,0.0396,0.8090,4.1129
PRGO,651,0.7527,0.0365,0.8135,4.1125
MNKS.L,486,0.8148,0.0194,0.8000,4.1122
SNV,661,0.7534,0.0408,0.8073,4.1120
ANA.MC,455,0.7956,0.0383,0.8130,4.1119
JD.L,399,0.8020,0.0435,0.8199,4.1111
BAS.DE,499,0.7956,0.0322,0.8055,4.1108
RGLD,738,0.7276,0.0506,0.8141,4.1107
GBF.DE,538,0.7732,0.0403,0.8125,4.1106
LYV,372,0.8118,0.0454,0.8179,4.1105
WELL,531,0.7872,0.0282,0.8090,4.1102
NDX1.DE,492,0.7581,0.0647,0.8212,4.1102
PNC,594,0.7660,0.0334,0.8127,4.1098
LFUS,640,0.7500,0.0407,0.8146,4.1092
SAAB-B.ST,472,0.7881,0.0379,0.8154,4.1081
AIR.PA,474,0.7827,0.0437,0.8155,4.1060
WLK,433,0.7945,0.0468,0.8129,4.1060
MNST,619,0.7480,0.0511,0.8122,4.1059
SBRA,447,0.7875,0.0523,0.8115,4.1054
EL,494,0.7834,0.0362,0.8148,4.1038
LSEG.L,433,0.7968,0.0395,0.8158,4.1036
FLO,675,0.7511,0.0299,0.8139,4.1027
BLK,416,0.8053,0.0367,0.8145,4.1024
SBUX,643,0.7481,0.0386,0.8163,4.1021
ACX.MC,469,0.7953,0.0351,0.8094,4.0997
DXCM,446,0.7780,0.0552,0.8183,4.0995
GHC,543,0.7753,0.0267,0.8171,4.0970
GEBN.SW,436,0.8028,0.0294,0.8151,4.0954
ASB,755,0.7430,0.0313,0.8061,4.0941
BLDR,417,0.7722,0.0709,0.8203,4.0938
RSW.L,559,0.7782,0.0328,0.8049,4.0936
CASY,808,0.7376,0.0312,0.8037,4.0936
RAA.DE,450,0.7889,0.0371,0.8186,4.0931
LII,474,0.7869,0.0385,0.8126,4.0928
SPX.L,417,0.8153,0.0304,0.8071,4.0923
AAL.L,505,0.7802,0.0457,0.8052,4.0904
SO,592,0.7736,0.0220,0.8097,4.0877
EIX,731,0.7497,0.0253,0.8063,4.0876
GOOGL,334,0.8353,0.0332,0.8145,4.0873
DSY.PA,424,0.8042,0.0345,0.8117,4.0872
ACGL,461,0.7983,0.0304,0.8098,4.0868
NRG,442,0.7919,0.0425,0.8120,4.0846
NOVN.SW,397,0.8186,0.0256,0.8122,4.0825
ATO,595,0.7731,0.0254,0.8057,4.0818
PSA,753,0.7437,0.0260,0.8074,4.0816
ML.PA,490,0.7918,0.0315,0.8064,4.0816
IBE.MC,438,0.8128,0.0272,0.8034,4.0812
INVP.L,440,0.7955,0.0426,0.8080,4.0800
ENEL.MI,427,0.8150,0.0279,0.8037,4.0798
THRG.L,458,0.7991,0.0232,0.8140,4.0794
TCBI,434,0.7926,0.0447,0.8107,4.0785
CHD,675,0.7511,0.0274,0.8110,4.0783
ROP,569,0.7663,0.0352,0.8102,4.0783
RYN,516,0.7849,0.0305,0.8068,4.0773
XRAY,620,0.7581,0.0315,0.8107,4.0772
LECO,616,0.7581,0.0328,0.8103,4.0761
SOON.SW,426,0.8028,0.0353,0.8096,4.0756
AVB,504,0.7857,0.0293,0.8094,4.0749
UFPI,689,0.7388,0.0394,0.8118,4.0747
SON,684,0.7544,0.0258,0.8060,4.0726
BAYN.DE,491,0.7882,0.0321,0.8076,4.0723
MT.AS,407,0.7912,0.0504,0.8151,4.0719
SJM,482,0.7967,0.0264,0.8057,4.0716
AKAM,489,0.7648,0.0568,0.8132,4.0715
MANH,518,0.7587,0.0553,0.8132,4.0707
A,484,0.7872,0.0356,0.8072,4.0695
ARE,428,0.8037,0.0321,0.8092,4.0689
TRY.L,518,0.7915,0.0240,0.8030,4.0689
WTFC,502,0.7749,0.0366,0.8138,4.0666
DPLM.L,515,0.7883,0.0324,0.7999,4.0665
FLR,480,0.7750,0.0450,0.8129,4.0660
AZN.L,547,0.7733,0.0308,0.8088,4.0657
FRES.L,383,0.7911,0.0553,0.8181,4.0647
EW,446,0.8004,0.0314,0.8067,4.0644
MUV2.DE,390,0.8154,0.0343,0.8074,4.0644
SLGN,495,0.7758,0.0371,0.8139,4.0643
ECL,627,0.7608,0.0262,0.8080,4.0639
NI,631,0.7591,0.0243,0.8104,4.0636
GME,503,0.7435,0.0750,0.8168,4.0625
NDA.DE,502,0.7769,0.0355,0.8117,4.0617
BOY.L,528,0.7765,0.0378,0.8036,4.0609
PFG,391,0.8082,0.0411,0.8081,4.0599
EOT.L,354,0.8305,0.0270,0.8106,4.0599
COKE,732,0.7336,0.0309,0.8137,4.0597
EQIX,467,0.7687,0.0519,0.8165,4.0595
NDAQ,398,0.7940,0.0455,0.8160,4.0563
CMG,373,0.8016,0.0433,0.8186,4.0558
FHI,459,0.7908,0.0377,0.8058,4.0545
CCL.L,413,0.7918,0.0452,0.8128,4.0535
KKR,291,0.8385,0.0415,0.8174,4.0519
CME,393,0.8015,0.0381,0.8148,4.0515
SEIC,666,0.7432,0.0351,0.8098,4.0512
SGO.PA,488,0.7848,0.0371,0.8037,4.0510
BNZL.L,486,0.7881,0.0258,0.8098,4.0508
DGX,469,0.7889,0.0336,0.8069,4.0483
SIE.DE,480,0.7854,0.0380,0.8041,4.0483
VLY,593,0.7605,0.0299,0.8092,4.0481
AAON,670,0.7313,0.0426,0.8157,4.0480
LITE,185,0.8757,0.0699,0.8265,4.0464
FTNT,312,0.8141,0.0530,0.8215,4.0464
GS,478,0.7782,0.0362,0.8129,4.0455
DTE.DE,467,0.7944,0.0308,0.8033,4.0448
DCC.L,432,0.7870,0.0375,0.8159,4.0442
MTX.DE,412,0.7985,0.0367,0.8110,4.0441
CRDA.L,506,0.7866,0.0300,0.8013,4.0432
SLAB,480,0.7625,0.0535,0.8148,4.0421
RS1.L,556,0.7680,0.0344,0.8047,4.0416
MASI,335,0.8239,0.0413,0.8097,4.0409
JMG.L,377,0.8276,0.0247,0.8025,4.0391
TYL,660,0.7379,0.0418,0.8090,4.0385
SNX,390,0.8000,0.0411,0.8123,4.0381
EOAN.DE,446,0.7982,0.0273,0.8067,4.0370
CKN.L,559,0.7585,0.0345,0.8130,4.0367
EPR,468,0.7885,0.0344,0.8047,4.0367
ANTO.L,475,0.7747,0.0475,0.8067,4.0364
INGR,474,0.7827,0.0315,0.8111,4.0360
CIVI,297,0.7912,0.0951,0.8175,4.0356
TKA.DE,505,0.7624,0.0478,0.8113,4.0350
BXP,436,0.7936,0.0332,0.8093,4.0342
PAGE.L,460,0.7826,0.0358,0.8113,4.0339
NOKIA.HE,452,0.7832,0.0446,0.8059,4.0321
DAR,510,0.7608,0.0474,0.8114,4.0319
LULU,354,0.7994,0.0520,0.8164,4.0315
DB1.DE,436,0.7913,0.0327,0.8114,4.0311
SU.PA,481,0.7859,0.0320,0.8044,4.0301
KMX,482,0.7614,0.0529,0.8134,4.0300
JII.L,414,0.8043,0.0302,0.8068,4.0299
TATE.L,538,0.7788,0.0271,0.8008,4.0292
BX,312,0.8269,0.0456,0.8109,4.0289
LANC,645,0.7519,0.0283,0.8051,4.0281
ISRG,491,0.7658,0.0454,0.8115,4.0268
DOM.L,477,0.7757,0.0373,0.8109,4.0255
FEV.L,411,0.8151,0.0224,0.8022,4.0251
EL.PA,424,0.8019,0.0259,0.8084,4.0249
MAA,480,0.7896,0.0250,0.8051,4.0240
MTS.MC,371,0.8005,0.0503,0.8082,4.0224
STAN.L,437,0.7895,0.0385,0.8064,4.0214
LNT,528,0.7784,0.0228,0.8052,4.0200
HMSO.L,524,0.7672,0.0347,0.8084,4.0194
SCHP.SW,483,0.7847,0.0265,0.8071,4.0193
CS.PA,577,0.7522,0.0386,0.8089,4.0189
LIN,528,0.7765,0.0295,0.8016,4.0187
NLY,374,0.8102,0.0326,0.8102,4.0172
UAA,374,0.7888,0.0556,0.8139,4.0167
GSCT.L,450,0.8022,0.0225,0.8012,4.0165
PRU.L,581,0.7590,0.0374,0.8010,4.0155
FCFS,670,0.7328,0.0412,0.8084,4.0146
ULTA,324,0.8117,0.0496,0.8147,4.0143
BKT.MC,452,0.7743,0.0406,0.8144,4.0133
ASL.L,442,0.7896,0.0233,0.8150,4.0130
ADS.DE,480,0.7792,0.0330,0.8073,4.0128
PODD,342,0.8041,0.0571,0.8086,4.0126
BG,431,0.7865,0.0349,0.8123,4.0126
MAR,475,0.7747,0.0368,0.8102,4.0126
BBVA.MC,440,0.7818,0.0397,0.8105,4.0112
LDOS,308,0.8312,0.0314,0.8159,4.0101
CBSH,723,0.7400,0.0213,0.8058,4.0099
MORN,321,0.8318,0.0353,0.8062,4.0092
CHDN,609,0.7471,0.0351,0.8083,4.0090
HTG.L,555,0.7477,0.0483,0.8088,4.0074
BMRN,546,0.7527,0.0452,0.8077,4.0064
HR,549,0.7705,0.0290,0.8006,4.0054
FRA.DE,435,0.7885,0.0330,0.8087,4.0034
MAB.L,436,0.7775,0.0432,0.8117,4.0028
ABF.L,465,0.7871,0.0273,0.8057,4.0028
MOH,434,0.7788,0.0420,0.8119,4.0026
MKC,563,0.7620,0.0269,0.8074,4.0020
SVT.L,523,0.7820,0.0252,0.7972,4.0020
DAL,354,0.7881,0.0563,0.8186,4.0019
HEN3.DE,461,0.7896,0.0244,0.8057,3.9989
ENGI.PA,454,0.7819,0.0310,0.8104,3.9982
KOG.OL,438,0.7877,0.0331,0.8072,3.9965
LSTR,590,0.7492,0.0332,0.8091,3.9964
ANET,226,0.8540,0.0532,0.8188,3.9950
KIE.L,563,0.7531,0.0364,0.8079,3.9950
HRL,568,0.7623,0.0243,0.8064,3.9946
CVLT,369,0.7967,0.0447,0.8115,3.9944
MSLH.L,622,0.7428,0.0339,0.8084,3.9943
FTK.DE,301,0.8073,0.0503,0.8249,3.9943
JDW.L,548,0.7573,0.0330,0.8089,3.9921
PARA,358,0.7905,0.0506,0.8161,3.9875
EG,491,0.7739,0.0326,0.8049,3.9870
VCT.L,539,0.7644,0.0304,0.8045,3.9869
LGEN.L,480,0.7792,0.0343,0.8009,3.9863
HNR1.DE,415,0.7880,0.0315,0.8131,3.9856
ES,643,0.7496,0.0230,0.8035,3.9852
ACN,391,0.8056,0.0305,0.8038,3.9847
TECH,641,0.7379,0.0370,0.8048,3.9815
AMP,334,0.8144,0.0393,0.8088,3.9803
AVNT,509,0.7525,0.0460,0.8111,3.9800
HWC,630,0.7413,0.0307,0.8077,3.9787
PGHN.SW,286,0.8322,0.0355,0.8156,3.9774
RSG,384,0.8021,0.0308,0.8081,3.9773
HWDN.L,424,0.7759,0.0428,0.8120,3.9766
SR,572,0.7570,0.0225,0.8089,3.9764
SAF.PA,487,0.7680,0.0349,0.8082,3.9763
BRWM.L,330,0.8152,0.0355,0.8117,3.9751
OC,358,0.7877,0.0484,0.8182,3.9751
WPP.L,374,0.8021,0.0344,0.8083,3.9750
PSON.L,392,0.8061,0.0273,0.8034,3.9749
VSVS.L,634,0.7319,0.0449,0.8051,3.9736
KRC,457,0.7768,0.0318,0.8091,3.9733
ZURN.SW,373,0.7936,0.0375,0.8145,3.9728
LKQ,373,0.8016,0.0375,0.8063,3.9725
KNIN.SW,418,0.7895,0.0313,0.8080,3.9723
SBRY.L,519,0.7707,0.0276,0.8019,3.9718
ACS.MC,368,0.8043,0.0354,0.8067,3.9709
TW.L,477,0.7631,0.0465,0.8059,3.9707
CDP,528,0.7595,0.0321,0.8077,3.9700
PRI,250,0.8560,0.0329,0.8124,3.9689
MUT.L,421,0.8076,0.0184,0.7982,3.9685
AIZ,334,0.8144,0.0337,0.8108,3.9683
BGEO.L,370,0.7838,0.0491,0.8154,3.9667
SHEL.L,371,0.8059,0.0285,0.8081,3.9644
SMT.L,389,0.8072,0.0267,0.8015,3.9633
ELE.MC,403,0.7990,0.0287,0.8033,3.9626
EXR,357,0.8039,0.0323,0.8119,3.9623
RED.MC,429,0.7949,0.0230,0.8035,3.9618
OXIG.L,508,0.7618,0.0407,0.8018,3.9618
TKO,486,0.7593,0.0391,0.8114,3.9616
RR.L,606,0.7393,0.0363,0.8067,3.9603
DLR,344,0.8140,0.0317,0.8070,3.9600
LHA.DE,569,0.7452,0.0362,0.8079,3.9584
NXT.L,582,0.7543,0.0309,0.7992,3.9576
ELS,475,0.7747,0.0265,0.8072,3.9575
WWH.L,464,0.7759,0.0257,0.8096,3.9571
IAD.L,441,0.7846,0.0274,0.8057,3.9559
MRK.DE,481,0.7672,0.0312,0.8095,3.9559
ULVR.L,480,0.7729,0.0300,0.8045,3.9555
RTO.L,526,0.7586,0.0305,0.8073,3.9552
RMV.L,353,0.8017,0.0373,0.8103,3.9552
CHTR,298,0.8221,0.0355,0.8149,3.9550
KBR,355,0.7944,0.0442,0.8115,3.9548
ITRK.L,376,0.8032,0.0274,0.8078,3.9546
TMUS,325,0.8062,0.0412,0.8138,3.9531
REP.MC,424,0.7877,0.0320,0.8033,3.9524
DG.PA,443,0.7833,0.0271,0.8059,3.9520
MRO.L,372,0.7823,0.0473,0.8145,3.9516
FGP.L,584,0.7449,0.0376,0.8024,3.9515
PKG,408,0.7892,0.0318,0.8063,3.9484
RBC,371,0.8005,0.0388,0.8019,3.9471
LLOY.L,449,0.7617,0.0476,0.8097,3.9470
CUZ,585,0.7470,0.0305,0.8043,3.9458
COLM,520,0.7481,0.0400,0.8106,3.9449
VIE.PA,461,0.7787,0.0270,0.8039,3.9449
SWX,618,0.7411,0.0254,0.8070,3.9424
HOC.L,442,0.7421,0.0649,0.8183,3.9406
TDG,339,0.7994,0.0356,0.8165,3.9401
CWK.L,513,0.7622,0.0283,0.8051,3.9387
AZN.ST,392,0.7908,0.0272,0.8116,3.9386
FSV.L,346,0.8208,0.0232,0.8016,3.9378
CNO,372,0.7849,0.0474,0.8087,3.9374
AVGO,307,0.8078,0.0429,0.8156,3.9373
QIA.DE,467,0.7623,0.0397,0.8078,3.9365
PB,479,0.7662,0.0305,0.8074,3.9358
FXPO.L,433,0.7367,0.0776,0.8163,3.9355
WM,551,0.7441,0.0305,0.8126,3.9339
PNFP,456,0.7632,0.0377,0.8109,3.9329
TTE.PA,391,0.7903,0.0334,0.8064,3.9323
CYTK,444,0.7455,0.0651,0.8120,3.9321
FE,428,0.7874,0.0259,0.8030,3.9318
NNN,562,0.7562,0.0240,0.8012,3.9297
OCDO.L,287,0.7875,0.0678,0.8251,3.9287
PCT.L,406,0.7882,0.0285,0.8064,3.9279
FOUR.L,477,0.7547,0.0373,0.8131,3.9274
KLR.L,571,0.7408,0.0368,0.8052,3.9263
ITV.L,499,0.7455,0.0438,0.8113,3.9236
FUTR.L,367,0.7766,0.0534,0.8117,3.9231
RH,263,0.8099,0.0605,0.8190,3.9223
MTO.L,492,0.7663,0.0331,0.7990,3.9218
EXPE,359,0.7883,0.0441,0.8095,3.9218
LAND.L,533,0.7561,0.0262,0.8048,3.9217
AR,250,0.8120,0.0691,0.8176,3.9217
FCIT.L,434,0.7972,0.0208,0.7930,3.9204
CHG.L,499,0.7615,0.0295,0.8044,3.9192
GOOG,335,0.8030,0.0322,0.8128,3.9190
EVR,392,0.7730,0.0455,0.8111,3.9155
MET,377,0.7851,0.0440,0.8048,3.9152
HO.PA,452,0.7721,0.0261,0.8079,3.9145
JGGI.L,334,0.8293,0.0221,0.7942,3.9140
GRF.MC,333,0.8018,0.0364,0.8104,3.9132
CA.PA,404,0.7847,0.0298,0.8066,3.9129
BLND.L,525,0.7543,0.0279,0.8053,3.9122
ENSG,349,0.7937,0.0367,0.8116,3.9120
BWXT,238,0.8487,0.0324,0.8151,3.9114
CRL,418,0.7727,0.0348,0.8099,3.9103
UDR,579,0.7427,0.0267,0.8060,3.9103
COLB,669,0.7160,0.0363,0.8098,3.9098
FSLR,348,0.7730,0.0582,0.8162,3.9090
VOD.L,423,0.7778,0.0339,0.8034,3.9087
BT-A.L,575,0.7409,0.0312,0.8049,3.9083
BP.L,523,0.7591,0.0281,0.7998,3.9083
WBD,384,0.7760,0.0421,0.8116,3.9072
MTDR,266,0.8008,0.0745,0.8126,3.9063
SSB,471,0.7580,0.0332,0.8101,3.9059
ORA.PA,412,0.7743,0.0355,0.8085,3.9043
BUT.L,483,0.7723,0.0195,0.8021,3.9041
TEL,258,0.8372,0.0415,0.8056,3.9036
MKTX,446,0.7601,0.0387,0.8102,3.9034
ATT.L,342,0.8070,0.0273,0.8057,3.8994
ADM.L,347,0.7954,0.0312,0.8122,3.8987
INCH.L,470,0.7468,0.0442,0.8119,3.8969
ALW.L,405,0.7975,0.0191,0.7979,3.8953
TEG.DE,421,0.7720,0.0333,0.8077,3.8947
ORA,355,0.7887,0.0391,0.8085,3.8925
JAZZ,366,0.7814,0.0445,0.8074,3.8916
MKS.L,582,0.7388,0.0311,0.8019,3.8904
SMIN.L,528,0.7557,0.0263,0.7999,3.8903
NTGY.MC,330,0.8091,0.0309,0.8038,3.8899
GNRC,269,0.8104,0.0474,0.8184,3.8890
IBOC,504,0.7500,0.0340,0.8055,3.8879
RAT.L,502,0.7510,0.0270,0.8101,3.8865
FIS,375,0.7920,0.0277,0.8052,3.8862
MC.PA,448,0.7701,0.0297,0.8023,3.8854
BNKR.L,407,0.7985,0.0184,0.7941,3.8818
ELV,428,0.7710,0.0311,0.8054,3.8812
CUBE,380,0.7816,0.0363,0.8063,3.8810
CRH.L,462,0.7619,0.0320,0.8041,3.8805
ASC.L,495,0.7273,0.0584,0.8122,3.8803
GNC.L,384,0.7682,0.0405,0.8152,3.8795
NXPI,255,0.8235,0.0495,0.8090,3.8775
GPE.L,502,0.7311,0.0544,0.8083,3.8759
ZBH,399,0.7794,0.0284,0.8070,3.8757
FRAS.L,391,0.7698,0.0446,0.8069,3.8748
ALL,492,0.7520,0.0288,0.8070,3.8715
AI.PA,374,0.8021,0.0239,0.7953,3.8713
SVS.L,537,0.7393,0.0316,0.8064,3.8673
TNL,325,0.7754,0.0581,0.8145,3.8669
IAG.MC,286,0.7972,0.0507,0.8154,3.8653
PKO.WA,427,0.7611,0.0364,0.8084,3.8639
AV.L,400,0.7800,0.0361,0.7976,3.8638
ZIG.L,492,0.7419,0.0355,0.8109,3.8624
SAX.DE,282,0.8014,0.0423,0.8183,3.8586
GPN,393,0.7710,0.0317,0.8112,3.8562
UMBF,660,0.7182,0.0250,0.8064,3.8547
HII,263,0.8137,0.0331,0.8219,3.8523
EDEN.PA,232,0.8448,0.0334,0.8093,3.8515
HSBA.L,390,0.7795,0.0300,0.8036,3.8510
MSCI,304,0.8092,0.0364,0.8026,3.8506
BN.PA,510,0.7451,0.0240,0.8091,3.8501
DLN.L,404,0.7599,0.0348,0.8155,3.8500
TDY,434,0.7627,0.0346,0.8031,3.8498
APO,299,0.8027,0.0416,0.8067,3.8470
HQY,249,0.8153,0.0509,0.8124,3.8434
IDR.MC,411,0.7640,0.0319,0.8091,3.8409
SRE,351,0.7920,0.0268,0.8051,3.8393
AGT.L,395,0.7924,0.0181,0.7954,3.8385
KGF.L,562,0.7295,0.0325,0.8040,3.8356
EXLS,347,0.7839,0.0385,0.8050,3.8351
BBY.L,437,0.7666,0.0311,0.7977,3.8350
GFTU.L,395,0.7620,0.0402,0.8089,3.8349
BRK-B,385,0.7688,0.0251,0.8169,3.8345
HET.L,397,0.7834,0.0205,0.8013,3.8345
OCN.L,424,0.7547,0.0261,0.8178,3.8329
AWK,235,0.8426,0.0270,0.8104,3.8316
GBCI,624,0.7147,0.0318,0.8070,3.8311
GXI.DE,314,0.7930,0.0366,0.8099,3.8297
WAL,388,0.7526,0.0480,0.8140,3.8290
MTSI,315,0.7810,0.0526,0.8092,3.8286
EPAM,256,0.8125,0.0464,0.8113,3.8279
ASHM.L,343,0.7755,0.0425,0.8106,3.8277
JAM.L,380,0.7947,0.0210,0.7937,3.8273
JEDT.L,281,0.8292,0.0246,0.7979,3.8245
QQ.L,332,0.7892,0.0314,0.8084,3.8218
IPGP,348,0.7701,0.0445,0.8114,3.8211
DLB,360,0.7778,0.0322,0.8081,3.8203
PIN.L,446,0.7534,0.0240,0.8113,3.8194
SN.L,524,0.7424,0.0253,0.8009,3.8181
DWNI.DE,310,0.7806,0.0422,0.8168,3.8142
ENS,375,0.7600,0.0444,0.8100,3.8124
IBKR,318,0.7862,0.0368,0.8105,3.8090
DFS,318,0.7862,0.0414,0.8069,3.8085
AEE,344,0.7936,0.0228,0.8029,3.8085
SNR.L,591,0.7107,0.0407,0.8067,3.8084
GDWN.L,505,0.7248,0.0338,0.8163,3.8083
SAN.PA,434,0.7650,0.0247,0.7997,3.8083
BEI.DE,436,0.7592,0.0252,0.8045,3.8070
NDA-FI.HE,388,0.7680,0.0304,0.8066,3.8066
RKT.L,499,0.7535,0.0221,0.7953,3.8064
MRCH.L,398,0.7814,0.0212,0.7964,3.8056
CPAY,226,0.8407,0.0364,0.8051,3.8056
CHRD,292,0.7671,0.0698,0.8161,3.8042
FANG,263,0.7947,0.0571,0.8122,3.8041
VIV.PA,419,0.7613,0.0297,0.8033,3.8040
FNF,366,0.7678,0.0354,0.8102,3.8035
DHL.DE,413,0.7603,0.0303,0.8058,3.8035
RGA,236,0.8305,0.0359,0.8081,3.8014
WMS,202,0.8267,0.0503,0.8238,3.8006
HSIC,510,0.7314,0.0321,0.8071,3.7992
ACA.PA,470,0.7362,0.0335,0.8112,3.7985
EVT.DE,498,0.7129,0.0517,0.8156,3.7984
UTG.L,495,0.7273,0.0366,0.8108,3.7938
LEA,250,0.8160,0.0370,0.8114,3.7936
ACHC,625,0.6928,0.0513,0.8089,3.7936
ENG.MC,334,0.7874,0.0249,0.8082,3.7922
HLMA.L,495,0.7455,0.0269,0.7981,3.7919
PBF,270,0.7815,0.0618,0.8150,3.7885
AD.AS,246,0.8252,0.0247,0.8132,3.7885
UBSI,615,0.7089,0.0300,0.8077,3.7884
IWG.L,358,0.7682,0.0413,0.8050,3.7883
CNH,188,0.8457,0.0482,0.8152,3.7881
FN,291,0.7835,0.0496,0.8112,3.7867
EDIN.L,357,0.7983,0.0193,0.7913,3.7865
SATS,297,0.7879,0.0403,0.8108,3.7859
SSE.L,490,0.7490,0.0226,0.7968,3.7817
FDR.MC,312,0.7756,0.0385,0.8167,3.7802
FER.MC,454,0.7533,0.0285,0.7971,3.7800
HIK.L,334,0.7754,0.0336,0.8109,3.7791
