symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
BEN,702,0.8034,0.0397,0.8202,4.4916
RRX,713,0.8050,0.0377,0.8181,4.4906
ARW,753,0.7928,0.0464,0.8169,4.4901
CNP,892,0.7915,0.0288,0.8113,4.4886
SLM,691,0.7988,0.0439,0.8230,4.4881
PNR,705,0.8113,0.0379,0.8121,4.4855
NYT,912,0.7752,0.0368,0.8186,4.4851
HAS,765,0.8039,0.0374,0.8096,4.4840
ALB,598,0.8211,0.0450,0.8171,4.4832
APA,903,0.7708,0.0469,0.8159,4.4818
UNM,668,0.8084,0.0435,0.8165,4.4807
GWW,694,0.8156,0.0311,0.8141,4.4803
INTC,861,0.7793,0.0438,0.8148,4.4800
LEN,923,0.7681,0.0461,0.8164,4.4797
JEF,697,0.8020,0.0366,0.8228,4.4792
ALK,892,0.7758,0.0442,0.8138,4.4791
BKR,781,0.7887,0.0441,0.8164,4.4788
CDNS,736,0.7935,0.0499,0.8141,4.4782
VOW.DE,577,0.8250,0.0391,0.8212,4.4770
CB,523,0.8394,0.0409,0.8183,4.4765
GILD,672,0.8021,0.0540,0.8130,4.4756
GE,942,0.7781,0.0314,0.8141,4.4752
AFL,738,0.7981,0.0382,0.8177,4.4752
PCAR,765,0.7974,0.0382,0.8136,4.4732
UHS,712,0.8006,0.0390,0.8181,4.4704
WSM,834,0.7722,0.0516,0.8176,4.4664
KBH,812,0.7697,0.0530,0.8222,4.4656
THC,919,0.7606,0.0478,0.8209,4.4649
ALGN,511,0.8200,0.0641,0.8202,4.4642
GAP,794,0.7796,0.0483,0.8178,4.4635
AXON,536,0.8097,0.0662,0.8223,4.4622
MAT,860,0.7767,0.0408,0.8166,4.4612
BBWI,826,0.7748,0.0446,0.8205,4.4612
PH,720,0.8069,0.0353,0.8111,4.4593
NOC,766,0.7937,0.0319,0.8193,4.4573
IFX.DE,500,0.8300,0.0601,0.8143,4.4542
PII,690,0.8000,0.0417,0.8174,4.4539
MLI,657,0.8067,0.0412,0.8169,4.4523
GEN,727,0.7868,0.0505,0.8174,4.4522
ORCL,752,0.7872,0.0488,0.8139,4.4514
AIT,731,0.7921,0.0350,0.8228,4.4490
EOG,710,0.7944,0.0455,0.8158,4.4489
OKE,728,0.8022,0.0347,0.8131,4.4488
TEX,803,0.7696,0.0547,0.8189,4.4466
DHR,676,0.8033,0.0348,0.8206,4.4452
MCD,916,0.7806,0.0301,0.8104,4.4449
CFR,640,0.8094,0.0376,0.8186,4.4433
HST,775,0.7858,0.0417,0.8148,4.4379
IVZ,515,0.8252,0.0488,0.8205,4.4356
MGM,753,0.7795,0.0509,0.8171,4.4353
MTB,550,0.8364,0.0306,0.8152,4.4349
SYK,707,0.8006,0.0374,0.8134,4.4335
EFX,721,0.7989,0.0358,0.8140,4.4334
BIIB,676,0.7899,0.0565,0.8150,4.4332
AVY,752,0.7965,0.0326,0.8136,4.4330
BIO,771,0.7821,0.0347,0.8238,4.4324
SRT3.DE,564,0.8085,0.0484,0.8244,4.4279
UNP,790,0.7911,0.0314,0.8130,4.4271
FAST,590,0.8203,0.0415,0.8115,4.4250
TXT,755,0.7907,0.0368,0.8142,4.4245
NTAP,615,0.7870,0.0659,0.8211,4.4243
WCC,499,0.8236,0.0569,0.8177,4.4238
VOW3.DE,585,0.8120,0.0425,0.8197,4.4221
SCYR.MC,501,0.8224,0.0490,0.8242,4.4212
IEX,562,0.8274,0.0336,0.8163,4.4210
CNX,574,0.8084,0.0590,0.8125,4.4200
CPRT,587,0.8194,0.0428,0.8112,4.4198
CHE,741,0.7922,0.0333,0.8167,4.4184
ASH,788,0.7855,0.0336,0.8157,4.4183
MAS,765,0.7895,0.0388,0.8111,4.4180
FITB,702,0.7963,0.0391,0.8144,4.4174
TTC,685,0.7971,0.0340,0.8205,4.4165
CLX,663,0.8039,0.0298,0.8210,4.4164
SREN.SW,471,0.8429,0.0401,0.8179,4.4150
JBL,650,0.7877,0.0598,0.8163,4.4150
EHC,727,0.7799,0.0527,0.8158,4.4143
SPGI,699,0.7997,0.0319,0.8163,4.4131
SWKS,779,0.7574,0.0666,0.8201,4.4117
WBA,745,0.7933,0.0333,0.8130,4.4082
